Time,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Redundant,Toplist Count,Toplist Domains,Query Count,Saved
03:45:45 20-03-24,Google Search,"Since we kyesw you want all sorts of custom products, we got you covered with highly professional sup...",96,6,3,0,0,0,,0,no
03:45:45 20-03-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",67,4,7,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",100,5,1,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,"With over 15 years of experience in the moving industry, we have the expertise and kyeswledge to hand...",32,31,0,0,0,0,,0,no
03:45:45 20-03-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",44,0,0,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,committed to the progress of sustainability within our business practices. With consistent evaluatio...,100,4,0,0,0,0,,0,yes
03:45:45 20-03-24,Google Search,is your global online store that delivers latest fashion apparel for you! Thousands of products in d...,27,0,0,0,0,0,,0,yes
03:45:45 20-03-24,guntab.com,guntab.com,1763,0,2,0,0,0,,0,yes
03:45:45 20-03-24,petscams.com,petscams.com,716,3,0,0,2,0,,0,yes
03:45:45 20-03-24,scam.delivery,scam.delivery,79,0,0,0,0,0,,0,yes
03:45:45 20-03-24,scam.directory,scam.directory,1251,0,1,0,0,0,,0,yes
03:45:45 20-03-24,stopgunscams.com,stopgunscams.com,75,1,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,committed to the progress of sustainability within our business practices. With consistent evaluatio...,40,0,0,0,0,0,,0,no
05:12:49 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,0,0,0,0,0,0,,0,no
05:12:49 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,0,0,0,0,0,0,,0,no
05:12:49 20-03-24,aa419.org,aa419.org,4262,2,16,0,0,0,,0,yes
05:12:49 20-03-24,guntab.com,guntab.com,1763,0,2,0,0,0,,0,yes
05:12:49 20-03-24,stopgunscams.com,stopgunscams.com,75,1,0,0,0,0,,0,yes
05:12:49 20-03-24,petscams.com,petscams.com,714,1,0,0,2,0,,0,yes
05:12:49 20-03-24,scam.delivery,scam.delivery,79,0,0,0,0,0,,0,yes
05:12:49 20-03-24,scam.directory,scam.directory,1251,0,1,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,committed to the progress of sustainability within our business practices. With consistent evaluatio...,40,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"Since we kyesw you want all sorts of custom products, we got you covered with highly professional sup...",10,0,2,0,0,0,,0,no
05:12:49 20-03-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",20,0,1,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",9,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",0,0,0,0,0,0,,0,yes
05:12:49 20-03-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",0,0,0,0,0,0,,0,yes
