Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
17:15:10 10-04-24,Google Search,"Your Gateway to Diverse Investments! Discover a world of investment opportunities tailored to meet y...",12,0,0,0,0,0,2,saved
17:24:20 10-04-24,Google Search,"We put customer satisfaction at the forefront of our business! We understand there is no business wi...",1,1,0,0,0,0,,saved
04:40:19 11-04-24,dnstwist,,65,65,0,0,0,0,,saved
10:03:35 11-04-24,aa419.org,,250,219,0,2,0,0,,saved
10:03:35 11-04-24,dnstwist,,1,1,0,0,0,0,,saved
10:03:35 11-04-24,guntab.com,,1810,7,0,277,94,0,,saved
10:03:35 11-04-24,petscams.com,,208,6,0,15,4,0,,saved
10:03:35 11-04-24,scam.directory,,100,2,0,17,63,0,,saved
10:03:35 11-04-24,scamadviser.com,,64,0,3,16,8,0,,saved
10:03:35 11-04-24,stopgunscams.com,,75,0,0,4,0,0,,saved
10:03:35 11-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",99,3,0,0,0,0,10,saved
10:03:35 11-04-24,Google Search,"we got you covered with highly professional suppliers and production houses that we keep in close co...",99,0,0,1,2,0,10,saved
10:03:35 11-04-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",100,1,0,0,1,0,10,saved
10:03:35 11-04-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",100,1,0,0,1,0,10,saved
10:03:35 11-04-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",95,3,0,0,0,0,10,saved
10:03:35 11-04-24,Google Search,"Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...",45,0,0,0,0,0,5,saved
10:03:35 11-04-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",42,0,0,0,0,0,8,saved
10:03:35 11-04-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",47,0,0,2,1,0,5,saved
10:03:35 11-04-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",72,2,5,0,0,0,10,saved
10:03:35 11-04-24,Google Search,"is the global leading online retailer for tops, bottoms and dresses. Our dedicated fashion buyers, w...",63,0,0,0,1,0,7,saved
10:03:35 11-04-24,Google Search,"The shipment of your product is our highest priority and everyday we dispatch hundreds of products t...",100,4,0,0,14,0,10,saved
10:03:35 11-04-24,Google Search,"We love cannabis for its wonderful properties which is exactly why we offer the services that we do....",40,0,1,2,1,0,5,saved
10:03:35 11-04-24,Google Search,"your number one source for all things cosmetic and personal care product....",39,3,0,1,2,0,10,saved
10:03:35 11-04-24,Google Search,"In this fast-paced world, we all enjoy comfort and convenience in almost everything. We love being c...",98,6,0,0,7,0,10,saved
10:03:35 11-04-24,Google Search,"Your Gateway to Diverse Investments! Discover a world of investment opportunities tailored to meet y...",12,0,0,0,0,0,2,saved
13:53:10 11-04-24,aa419.org,,500,181,0,15,17,0,,saved
16:29:34 11-04-24,dnstwist,,22,22,0,0,0,0,,saved
06:03:39 12-04-24,dnstwist,,22,22,0,0,0,0,,saved
06:06:23 12-04-24,dnstwist,,1,1,0,0,0,0,,saved
06:09:04 12-04-24,dnstwist,,0,0,0,0,0,0,,error: empty
06:29:42 12-04-24,aa419.org,,250,19,0,0,0,1,,saved
06:29:42 12-04-24,guntab.com,,1810,0,0,277,97,0,,saved
06:29:42 12-04-24,petscams.com,,28,3,0,0,0,0,,saved
06:29:42 12-04-24,scam.directory,,100,1,0,17,3,0,,saved
06:29:42 12-04-24,scamadviser.com,,6,1,0,0,0,0,,saved
06:29:42 12-04-24,stopgunscams.com,,75,1,0,4,0,0,,saved
06:41:56 12-04-24,aa419.org,,1,0,0,0,0,1,,unsaved
06:51:43 12-04-24,aa419.org,,250,0,0,0,0,1,,unsaved
06:51:43 12-04-24,guntab.com,,1810,0,0,277,97,0,,unsaved
06:51:43 12-04-24,petscams.com,,197,0,0,13,4,0,,unsaved
06:51:43 12-04-24,scam.directory,,100,0,0,17,3,0,,unsaved
06:51:43 12-04-24,scamadviser.com,,65,0,3,16,5,0,,unsaved
06:51:43 12-04-24,stopgunscams.com,,75,0,0,4,0,0,,unsaved
06:57:53 12-04-24,aa419.org,,1,0,0,0,0,1,,unsaved
06:58:31 12-04-24,aa419.org,,1,0,0,0,0,1,,unsaved
06:59:28 12-04-24,aa419.org,,1,1,0,0,0,0,,saved
07:01:49 12-04-24,aa419.org,,250,0,0,0,0,0,,unsaved
07:01:49 12-04-24,guntab.com,,1810,0,0,277,97,0,,unsaved
07:01:49 12-04-24,petscams.com,,197,0,0,13,4,0,,unsaved
07:01:49 12-04-24,scam.directory,,100,0,0,17,3,0,,unsaved
07:01:49 12-04-24,scamadviser.com,,69,0,3,17,5,0,,unsaved
07:01:49 12-04-24,stopgunscams.com,,75,0,0,4,0,0,,unsaved
16:00:35 12-04-24,dnstwist,,118,116,2,0,0,0,,saved
16:00:35 12-04-24,Regex,,8092,7876,204,0,0,12,,saved
16:17:52 12-04-24,Regex,,12,12,0,0,0,0,,saved
16:29:30 12-04-24,aa419.org,,250,3,0,9,0,0,,saved
16:29:30 12-04-24,dnstwist,,5,5,0,0,0,0,,saved
16:29:30 12-04-24,guntab.com,,1811,17,0,280,97,0,,saved
